NBR,AIRLINES,ACTIONCODE,ARR,DEP,From,To,DOS,OverN,SEATS,TYPE,ORR,PRE,ETA_R,ETD_R,ETA_C,ETD_C,NEX,DES,SERVICE TYPE,1,2,3,4,5,6,7
1,0V,K,8056,,2024-03-31,2024-10-26,1234567,0,68,AT7,VCS,VCS,9:55,,9:55,,,,J,1,2,3,4,5,6,7
2,0V,K,8090,,2024-03-31,2024-10-25,0000507,0,68,AT7,VCS,VCS,6:50,,6:50,,,,J,,,,,5,,7
3,0V,K,,8091,2024-03-31,2024-10-25,0000507,0,68,AT7,,,,7:15,,7:15,VCS,VCS,J,,,,,5,,7
4,0V,K,8068,,2024-03-31,2024-05-23,0204067,0,68,AT7,VCS,VCS,11:10,,11:10,,,,J,,2,,4,,6,7
5,0V,K,,8063,2024-03-31,2024-10-20,0000007,0,68,AT7,,,,5:20,,5:20,VCS,VCS,J,,,,,,,7
6,0V,K,,8061,2024-03-31,2024-08-31,1234060,0,68,AT7,,,,6:35,,6:35,CAH,CAH,J,1,2,3,4,,6,
7,0V,K,8058,,2024-03-31,2024-10-26,0234000,0,68,AT7,VCS,VCS,2:30,,2:30,,,,J,,2,3,4,,,
8,0V,K,,8059,2024-03-31,2024-10-20,0000007,0,68,AT7,,,,23:50,,23:50,VCS,VCS,J,,,,,,,7
9,0V,K,,8093,2024-03-31,2024-04-04,0000500,0,68,AT7,,,,6:30,,6:30,VCS,VCS,J,,,,,5,,
10,0V,K,8052,,2024-03-31,2024-05-19,0000007,0,68,AT7,VCS,VCS,3:50,,3:50,,,,J,,,,,,,7
11,0V,K,,8053,2024-03-31,2024-05-19,0000007,0,68,AT7,,,,1:10,,1:10,VCS,VCS,J,,,,,,,7
12,0V,K,,8097,2024-03-31,2024-06-29,0000007,0,68,AT7,,,,7:30,,7:30,VCS,VCS,J,,,,,,,7
13,0V,K,8098,,2024-03-31,2024-06-29,0000007,0,68,AT7,VCS,VCS,10:10,,10:10,,,,J,,,,,,,7
14,0V,K,,8063,2024-03-31,2024-10-26,0004000,0,68,AT7,,,,5:20,,5:20,VCS,VCS,J,,,,4,,,
15,0V,K,8052,,2024-03-31,2024-05-18,0000060,0,68,AT7,VCS,VCS,3:50,,3:50,,,,J,,,,,,6,
16,0V,K,8074,,2024-03-31,2024-06-29,0000060,0,68,AT7,VCS,VCS,0:35,,0:35,,,,J,,,,,,6,
17,0V,K,8092,,2024-03-31,2024-06-24,0000007,0,68,AT7,VCS,VCS,9:15,,9:15,,,,J,,,,,,,7
18,0V,K,,8061,2024-03-31,2024-10-26,0000507,0,68,AT7,,,,8:35,,8:35,CAH,CAH,G,,,,,5,,7
19,0V,K,,8069,2024-03-31,2024-05-23,0034000,0,68,AT7,,,,8:35,,8:35,VCS,VCS,J,,,3,4,,,
20,0V,K,,8069,2024-03-31,2024-05-23,0200000,0,68,AT7,,,,8:50,,8:50,VCS,VCS,J,,2,,,,,
21,0V,K,,8069,2024-03-31,2024-05-19,0000567,0,68,AT7,,,,8:35,,8:35,VCS,VCS,J,,,,,5,6,7
22,0V,K,8068,,2024-03-31,2024-05-22,0030500,0,68,AT7,VCS,VCS,11:10,,11:10,,,,J,,,3,,5,,
23,0V,K,8060,,2024-03-31,2024-10-26,0000507,0,68,AT7,CAH,CAH,11:20,,11:20,,,,G,,,,,5,,7
24,0V,K,,8075,2024-03-31,2024-06-28,0000500,0,68,AT7,,,,21:55,,21:55,VCS,VCS,J,,,,,5,,
25,0V,K,,8051,2024-03-31,2024-05-18,0004060,0,68,AT7,,,,22:00,,22:00,VCS,VCS,J,,,,4,,6,
26,0V,K,,8073,2024-03-31,2024-05-18,0004060,0,68,AT7,,,,22:20,,22:20,VCS,VCS,J,,,,4,,6,
27,0V,K,8060,,2024-03-31,2024-10-26,1204060,0,68,AT7,CAH,CAH,9:15,,9:15,,,,J,1,2,,4,,6,
28,0V,K,8058,,2024-03-31,2024-10-20,0000007,0,68,AT7,VCS,VCS,2:30,,2:30,,,,J,,,,,,,7
29,0V,K,8066,,2024-03-31,2024-10-20,0000007,0,68,AT7,VCS,VCS,6:10,,6:10,,,,J,,,,,,,7
30,0V,K,8066,,2024-03-31,2024-10-26,1000000,0,68,AT7,VCS,VCS,5:35,,5:35,,,,J,1,,,,,,
31,0V,K,8002,,2024-03-31,2024-10-26,1234567,0,68,AT7,VKG,VKG,4:15,,4:15,,,,J,1,2,3,4,5,6,7
32,0V,K,,8003,2024-03-31,2024-10-26,1234567,0,68,AT7,,,,1:35,,1:35,VKG,VKG,J,1,2,3,4,5,6,7
33,0V,K,8054,,2024-03-31,2024-08-29,0204000,0,68,AT7,VCS,VCS,1:05,,1:05,,,,J,,2,,4,,,
34,0V,K,,8055,2024-03-31,2024-10-26,1030500,0,68,AT7,,,,22:15,,22:15,VCS,VCS,J,1,,3,,5,,
35,0V,K,,8067,2024-03-31,2024-10-26,1204000,0,68,AT7,,,,3:00,,3:00,VCS,VCS,J,1,2,,4,,,
36,0V,K,,8057,2024-03-31,2024-10-26,0200000,0,68,AT7,,,,4:15,,4:15,VCS,VCS,J,,2,,,,,
37,0V,K,8058,,2024-04-01,2024-10-26,1000500,0,68,AT7,VCS,VCS,2:30,,2:30,,,,J,1,,,,5,,
38,0V,K,8058,,2024-04-01,2024-10-26,0000060,0,68,AT7,VCS,VCS,2:35,,2:35,,,,J,,,,,,6,
39,0V,K,8060,,2024-04-01,2024-10-26,0030000,0,68,AT7,CAH,CAH,9:15,,9:15,,,,J,,,3,,,,
40,0V,K,8050,,2024-04-01,2024-05-17,0000500,0,68,AT7,VCS,VCS,0:35,,0:35,,,,J,,,,,5,,
41,0V,K,,8059,2024-04-01,2024-10-25,1034500,0,68,AT7,,,,23:50,,23:50,VCS,VCS,J,1,,3,4,5,,
42,0V,K,8062,,2024-04-01,2024-10-26,0234500,0,68,AT7,VCS,VCS,7:55,,7:55,,,,J,,2,3,4,5,,
43,0V,K,8062,,2024-04-01,2024-10-26,1000000,0,68,AT7,VCS,VCS,8:00,,8:00,,,,J,1,,,,,,
44,0V,K,,8063,2024-04-01,2024-10-26,1230500,0,68,AT7,,,,5:20,,5:20,VCS,VCS,J,1,2,3,,5,,
45,0V,K,8062,,2024-04-01,2024-04-05,0000060,0,68,AT7,VCS,VCS,7:55,,7:55,,,,J,,,,,,6,
46,0V,K,,8063,2024-04-01,2024-04-05,0000060,0,68,AT7,,,,5:20,,5:20,VCS,VCS,J,,,,,,6,
47,0V,K,,8059,2024-04-02,2024-10-26,0200000,0,68,AT7,,,,23:50,,23:50,VCS,VCS,J,,2,,,,,
48,0V,K,8050,,2024-04-02,2024-06-02,0000060,0,68,AT7,VCS,VCS,0:35,,0:35,,,,J,,,,,,6,
49,0V,K,8066,,2024-04-02,2024-10-26,0204060,0,68,AT7,VCS,VCS,6:05,,6:05,,,,J,,2,,4,,6,
50,0V,K,8066,,2024-04-02,2024-06-02,0030500,0,68,AT7,VCS,VCS,6:10,,6:10,,,,J,,,3,,5,,
51,0V,K,8052,,2024-04-05,2024-05-17,0000500,0,68,AT7,VCS,VCS,3:50,,3:50,,,,J,,,,,5,,
52,0V,K,,8053,2024-04-05,2024-05-17,0000500,0,68,AT7,,,,1:10,,1:10,VCS,VCS,J,,,,,5,,
